,,,,
L.p.,Numer dekoru,Nazwa dekoru,Struktura,(2800x2100x18mm)
,,,,
,,,,
,,,,netto/brutto
1,PF8036,ANTRACYT METALIK,MT,346
2,U18074,ATLANTIC,MT,279
3,PB0080,BIAŁY JEDWAB,SO,319
4,PB0061,BIEL PORCELANOWA,MT,287
5,PU2000,BŁĘKIT KRÓLEWSKI,SG,332
6,PU2800,BORDO,SG,338
7,PD7010,BRZOZA OJCÓW,LN,342
8,PD7012,BRZOZA WISŁA,CW,273
9,PF8007,BUFFALO,SG,433
10,PD7014,BUK BAWARIA,CW,300
11,PD7003,BUK SCANDI,SG,313
12,PD7019,BUK TALINN,LN,284
13,PF8000,CAROLINE,SG,304
14,PD3050,DĄB RETRO,PU,327
15,PD3022,DĄB SREBRZYSTY,LN,313
16,PK9053,ESPRESSO,SG,337
17,PD7026,GRUSZA,MT,309
18,PD6005,JESION KARPACKI,PU,317
19,PU2600,KARMINOWY,SG,367
20,PD7033,KASZTAN CIEMNY - nie dostępna,CW,321
21,PF8001,KITO BRĄZOWY,SG,310
22, , , , 
23,PF8035,MIEDŹ METALICZNA,MT,407
24,PK9001,MITU SZARY,SG,329
25,PD7039,MODRZEW SIBIU,LN,329
26,PU2400,ORANGE,MT,336
27,PD5011,ORZECH WISCONSIN,PU,327
28,PD7048,SANGHA WENGE,VT,350
29,PK9010,SMOOTH CONCRETE BROWN,SG,295
30,PD7068,SOSNA GÓRSKA,VT,330
31,PD7041,SOSNA SCANDI,LN,326
32,PD7066,SOSNA SŁOWIAŃSKA,VT,330
33,PU1212,SZARY PERŁOWY,MT,474
34,PD7036,TEAK HANOI,PU,308
35,PD7061,WIĄZ BARON,LN,315
36,PU1800,ŻÓŁĆ CYNKOWA,MT,344
SO - soft  MA - matt  MT - molet  SG - soft grain  LN - nordic wood  VT - vintage wood  PU - pure wood  RW - raw wood   CW - classic wood  WP - wood print,,,,
