Cennik blum - LISTOPAD 2025,,,,,,,,,
przy kursie 1 EUR =  4.25 PLN,,,,,,,,,
,,,,,,,,,
"Podane ceny mają wyłącznie charakter rekomendacji i nie są w żaden sposób wiążące dla kontrahentów, którzy posiadają swobodę w kształtowaniu swojej polityki cenowej.",,,,,,,,,
Przy zawieraniu i realizacji umów sprzedaży między Blum a Kupującym stosuje się Ogólne Warunki Handlowe Blum dostępne pod adresem http://www.blum.com,,,,,,,,,
,,,,,,,,,
Grupa,Symbol,Numer identyfikacyjny,Cena za,Cena PLN za 1 szt.,Min. Zamówienie,Waga [kg] za 1000 szt.,ilość na palecie [szt],Kod EAN,Opis produktu
CLIP 110, 71B378E   MB    V250  NI,08913563,1,"11,18",1 500,"81,45",6 000,9002617768459,"CLIP top BLUMOTION zawias standard. 110°, Drzwi wpuszczane, puszka:     EXPANDO+niklowany*P/U: 250"
CLIP 110, 71B3790   MB    V250  NI,08913703,1,"13,13",1,"90,105",4 500,9002617768466,"CLIP top BLUMOTION zawias standard. 110°, Drzwi wpuszczane, puszka:     INSERTA+niklowany*P/U: 250"
CLIP 110, 71B3790   MB    V250 ONS,04220988,1,"14,24",250,"90,095",4 500,9009494216769,"CLIP top BLUMOTION zawias standard. 110°, Drzwi wpuszczane, puszka:     INSERTA+czarny*P/U: 250"
CLIP 110, 73B3550   MB    V250  NI,08913873,1,"9,99",250,"73,282",8 000,9002617768497,"CLIP top BLUMOTION zawias standard. 110° Specjalny, Drzwi nakładane,     puszka: na wkręty+niklowany*P/U: 250"
CLIP 110, 73B3550   MB    V250 ONS,03682286,1,"11,14",250,"73,272",8 000,9009494291377,"CLIP top BLUMOTION zawias standard. 110° Specjalny, Drzwi nakładane,     puszka: na wkręty+czarny*P/U: 250"
CLIP 110, 73B3590   MB    V250 ONS,01056692,1,"13,39",250,"85,5",6 000,9009494291384,"CLIP top BLUMOTION zawias standard. 110° Specjalny, Drzwi nakładane,     puszka: INSERTA+czarny*P/U: 250"
CLIP 110, 70T3550.TLMB     V50  NI,09001883,1,"5,31",50,"67,763",6 000,9002617778540,"CLIP top zawias standard. 110°, Drzwi nakładane, bez sprężyny, puszka:     na wkręty+niklowany*P/U: 50/250"
CLIP 110, 70T3550.TLMB     V50 ONS,03673069,1,"6,42",50,"67,763",6 000,9009494529319,"CLIP top zawias standard. 110°, Drzwi nakładane, bez sprężyny, puszka:     na wkręty+czarny*P/U: 50/250"
CLIP 110, 70T3580.TLMB     V50  NI,09047803,1,"5,65",250,"70,409",6 000,9002617780727,"CLIP top zawias standard. 110°, Drzwi nakładane, bez sprężyny, puszka:     wciskana+niklowany*P/U: 50/250"
CLIP 110, 70T358E.TLMB    V250  NI,09295093,1,"5,31",2 000,"66,99",8 000,9002617796971,"CLIP top zawias standard. 110°, Drzwi nakładane, bez sprężyny, puszka:     EXPANDO+niklowany*P/U: 250"
CLIP 110, 70T3590.TLMB     V50  NI,09001953,1,"7,61",50,"81,186",3 000,9002617778564,"CLIP top zawias standard. 110°, Drzwi nakładane, bez sprężyny, puszka:     INSERTA+niklowany*P/U: 50/250"
CLIP 110, 70T3650.TLMB     V50  NI,09002013,1,"5,99",50,"70,373",6 000,9002617779318,"CLIP top zawias standard. 110°, Drzwi bliźniacze, bez sprężyny, puszka:     na wkręty+niklowany*P/U: 50/250"
CLIP 110, 70T3650.TLMB     V50 ONS,01517908,1,"7,14",50,"70,373",6 000,9009494529531,"CLIP top zawias standard. 110°, Drzwi bliźniacze, bez sprężyny, puszka:     na wkręty+czarny*P/U: 50/250"
CLIP 110, 70T3690.TLMB     V50  NI,09002183,1,"8,29",250,"83,796",3 000,9002617779325,"CLIP top zawias standard. 110°, Drzwi bliźniacze, bez sprężyny, puszka:     INSERTA+niklowany*P/U: 50/250"
CLIP 110, 70T3750.TLMB     V50  NI,09002253,1,"6,16",50,"71,523",6 000,9002617779349,"CLIP top zawias standard. 110°, Drzwi wpuszczane, bez sprężyny, puszka:     na wkręty+niklowany*P/U: 50/250"
CLIP 110, 70T3750.TLMB     V50 ONS,01725283,1,"7,27",50,"71,523",6 000,9009494529593,"CLIP top zawias standard. 110°, Drzwi wpuszczane, bez sprężyny, puszka:     na wkręty+czarny*P/U: 50/250"
CLIP 110, 70T3790.TLMB     V50  NI,09002323,1,"8,42",50,"84,946",3 000,9002617779448,"CLIP top zawias standard. 110°, Drzwi wpuszczane, bez sprężyny, puszka:     INSERTA+niklowany*P/U: 50/250"
CLIP 110, 71T3550   MB    V250  NI,08946093,1,"5,02",250,"67,879",8 000,9002617772845,"CLIP top zawias standard. 110°, Drzwi nakładane, puszka: na     wkręty+niklowany*P/U: 250"
CLIP 110, 71T3580   MB    V250  NI,08946163,1,"5,31",250,"70,525",8 000,9002617772906,"CLIP top zawias standard. 110°, Drzwi nakładane, puszka:     wciskana+niklowany*P/U: 250"
CLIP 110, 71T358E   MB    V250  NI,09048413,1,"5,31",250,"71,074",8 000,9002617784350,"CLIP top zawias standard. 110°, Drzwi nakładane, puszka:     EXPANDO+niklowany*P/U: 250"
CLIP 110, 71T3590   MB    V250  NI,09819726,1,"7,27",250,"79,647",6 000,9009494470345,"CLIP top zawias standard. 110°, Drzwi nakładane, puszka:     INSERTA+niklowany*P/U: 250"
CLIP 110, 71T3650   MB     V50  NI,09000963,1,"5,99",50,"74,442",6 000,9002617774436,"CLIP top zawias standard. 110°, Drzwi bliźniacze, puszka: na     wkręty+niklowany*P/U: 50/250"
CLIP 110, 71T3690   MB     V50  NI,09001643,1,"8,29",250,"87,865",3 000,9002617778199,"CLIP top zawias standard. 110°, Drzwi bliźniacze, puszka:     INSERTA+niklowany*P/U: 50/250"
CLIP 110, 71T3750   MB     V50  NI,09001193,1,"6,16",50,"75,592",6 000,9002617778076,"CLIP top zawias standard. 110°, Drzwi wpuszczane, puszka: na     wkręty+niklowany*P/U: 50/250"
CLIP 110, 71T378E   MB    V250  NI,09050083,1,"6,16",1 500,"75,707",6 000,9002617789607,"CLIP top zawias standard. 110°, Drzwi wpuszczane, puszka:     EXPANDO+niklowany*P/U: 250"
CLIP 110, 71T3790   MB     V50  NI,09001713,1,"8,42",250,"89,015",3 000,9002617778502,"CLIP top zawias standard. 110°, Drzwi wpuszczane, puszka:     INSERTA+niklowany*P/U: 50/250"
CLIP 110, 72T3550.TLMB     V50  NI,09002943,1,"5,31",50,"67,423",6 000,9002617780222,"CLIP top zawias standard. 110° Specjalny, Drzwi nakładane, bez sprężyny,     puszka: na wkręty+niklowany*P/U: 50/250"
CLIP 110, 72T3590.TLMB     V50  NI,09003003,1,"7,61",250,"80,846",3 000,9002617780239,"CLIP top zawias standard. 110° Specjalny, Drzwi nakładane, bez sprężyny,     puszka: INSERTA+niklowany*P/U: 50/250"
CLIP 110, 73T3550   MB    V250  NI,09047423,1,"5,02",250,"67,539",8 000,9002617780659,"CLIP top zawias standard. 110° Specjalny, Drzwi nakładane, puszka: na     wkręty+niklowany*P/U: 250"
CLIP 120, 70T5550.TLMB     V50  NI,06510533,1,"5,31",50,"68,34",6 000,9002617625646,"CLIP top zawias standard. 120°, Drzwi nakładane, bez sprężyny, puszka:     na wkręty+niklowany*P/U: 50/250"
CLIP 120, 70T5550.TLMB     V50 ONS,08415082,1,"6,42",1,"68,34",6 000,9009494516807,"CLIP top zawias standard. 120°, Drzwi nakładane, bez sprężyny, puszka:     na wkręty+czarny*P/U: 50/250"
CLIP 120, 70T5580.TLMB     V50  NI,06877303,1,"5,65",250,"70,94",6 000,9002617647051,"CLIP top zawias standard. 120°, Drzwi nakładane, bez sprężyny, puszka:     wciskana+niklowany*P/U: 50/250"
CLIP 120, 70T5580.TLMB     V50 ONS,04213902,1,"6,76",1,"70,94",6 000,9009494516333 ,"CLIP top zawias standard. 120°, Drzwi nakładane, bez sprężyny, puszka:     wciskana+czarny*P/U: 50/250"
CLIP 120, 70T558E.TLMB     V50  NI,07606263,1,"5,65",250,"71,52",6 000,9002617693898,"CLIP top zawias standard. 120°, Drzwi nakładane, bez sprężyny, puszka:     EXPANDO+niklowany*P/U: 50/250"
CLIP 120, 70T5590BTLMB     V50  NI,06874063,1,"7,61",50,"97,834",3 000,9002617645569,"CLIP top zawias standard. 120°, Drzwi nakładane, bez sprężyny, puszka:     INSERTA+niklowany*P/U: 50/250"
CLIP 120, 71T5550   MB    V250  NI,03680333,1,"5,02",250,"68,245",8 000,9002617448887,"CLIP top zawias standard. 120°, Drzwi nakładane, puszka: na     wkręty+niklowany*P/U: 250"
CLIP 120, 71T5580   MB    V250  NI,03283503,1,"5,31",8 000,"70,845",8 000,9002617415865,"CLIP top zawias standard. 120°, Drzwi nakładane, puszka:     wciskana+niklowany*P/U: 250"
CLIP 120, 72T5550.TLMB     V50  NI,07606693,1,"5,31",250,"68,64",6 000,9002617693911,"CLIP top zawias standard. 120° Specjalny, Drzwi nakładane, bez sprężyny,     puszka: na wkręty+niklowany*P/U: 50/250"
CLIP 120, 72T5590BTLMB     V50  NI,07606853,1,"7,61",250,"98,134",3 000,9002617693935,"CLIP top zawias standard. 120° Specjalny, Drzwi nakładane, bez sprężyny,     puszka: INSERTA+niklowany*P/U: 50/250"
CLIP 155, 71B7550   MB    V125  NI,01181769,1,"20,44",125,"183,255",3 000,9009494294576,"CLIP top BLUMOTION Zawias z szerokim kątem otwarcia i zerowym uskokiem     155°, Drzwi nakładane, puszka: na wkręty+niklowany*P/U: 125"
CLIP 155, 71B7550   MB    V125 ONS,08671120,1,"24,06",1,"183,545",3 000,9009494295511,"CLIP top BLUMOTION Zawias z szerokim kątem otwarcia i zerowym uskokiem     155°, Drzwi nakładane, puszka: na wkręty+czarny*P/U: 125"
CLIP 155, 71B7580   MB    V125  NI,08213597,1,"20,78",125,"185,955",3 000,9009494294583,"CLIP top BLUMOTION Zawias z szerokim kątem otwarcia i zerowym uskokiem     155°, Drzwi nakładane, puszka: wciskana+niklowany*P/U: 125"
